GEOMETRY 0,53 1024x640
1789616617953 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616618019 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789616618100 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616618100 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616618199 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616618270 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616619460 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616620128 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789616620203 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789616620204 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789616620373 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616620465 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616620533 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616621728 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616622397 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789616622563 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789616622563 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789616622646 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616622648 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616622721 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616622723 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616622803 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616623997 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616624747 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616624749 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616624831 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616624833 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789616624915 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789616625696 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789616625783 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789616626120 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=654,296 scr=654,348
1789616626205 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=709,292 scr=709,344
1789616626286 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=763,288 scr=763,340
1789616626371 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=818,284 scr=818,336
1789616626457 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=872,280 scr=872,332
1789616626540 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=927,275 scr=927,328
1789616626622 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789616626702 EXITED btn=1 mex=0x400 src=start.StartPanel xy=1036,267 scr=1036,319
1789616626702 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1036,267 scr=1036,319
1789616626784 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1090,263 scr=1090,315
1789616626865 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1145,259 scr=1145,311
1789616626949 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1199,255 scr=1199,307
1789616627031 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1254,250 scr=1254,303
1789616627452 RELEASED btn=1 mex=0x1000 src=start.StartPanel xy=1254,250 scr=1254,303
1789616629125 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616629127 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616629131 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789616629205 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
