GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613397618 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613397700 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789613397750 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613397751 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613397835 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613397837 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613397919 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613397919 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613397923 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613397925 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613398734 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613398789 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613398874 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613398959 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613398960 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613399043 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613399126 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613399132 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613399214 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613399298 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613399378 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613399460 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613399546 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613399627 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613399712 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613399795 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613399876 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613399876 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613399965 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613400043 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613400046 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613400125 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613400127 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613400208 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613400210 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613400210 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613400212 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613401023 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613401082 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613401164 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613401252 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613401252 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613401331 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613401414 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613401417 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613401503 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613401585 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613401666 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613401749 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613401834 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613401920 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613402001 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613402083 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613402164 RELEASED btn=1 mex=0x1000 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613402261 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613402261 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613402333 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613402417 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613402418 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613402497 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613402501 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613402501 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613402503 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613403334 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613403369 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613403452 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613403536 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613403536 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613403622 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613403707 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613403707 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613403784 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613403863 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613403947 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613404031 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613404113 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613404194 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613404279 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613404366 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613404449 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613404527 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613404529 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613404610 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613404612 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613404612 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613404614 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
