GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613437692 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613437692 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613437776 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613437857 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613437859 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613437942 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613438024 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613438107 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613438186 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613438268 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613438353 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613438437 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613438520 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613438599 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613438601 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613438683 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613438685 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613438765 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613438769 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613438769 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613438772 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
