GEOMETRY 0,53 1024x640
1789655775325 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655775389 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655775473 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655775474 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655775548 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655775551 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655775629 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655777331 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655777496 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655777577 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655777577 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655777742 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655777744 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655777827 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655777828 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655777909 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655779610 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655779776 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655779938 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655779938 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655780022 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655780025 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655780104 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655780106 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655780184 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655781878 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655782128 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655782129 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655782213 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655782215 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655782294 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655783082 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655783170 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655783505 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655783588 EXITED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655783588 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655783672 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1280,527 scr=1280,579
1789655783757 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1506,603 scr=1506,655
1789655783840 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1733,677 scr=1733,730
1789655783925 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1960,753 scr=1960,806
1789655784011 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2186,829 scr=2186,882
1789655784093 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2413,904 scr=2413,957
1789655784173 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2640,980 scr=2640,1033
1789655784257 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2866,1055 scr=2866,1108
1789655784343 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=3093,1131 scr=3093,1184
1789655784428 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655784848 RELEASED btn=1 mex=0x1000 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655786514 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655786514 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655786516 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655786598 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655786600 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655786676 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655787465 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655787468 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655787472 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655787552 PRESSED btn=3 mex=0x1000 src=start.StartPanel xy=600,300 scr=600,353
