GEOMETRY 0,53 1024x640
1789655753396 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655753456 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655753537 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655753537 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655753618 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655753621 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655753699 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655755398 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655755562 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655755647 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655755647 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789655755817 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655755819 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655755900 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655755902 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655755981 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655757688 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655757849 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789655758017 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655758017 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789655758102 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655758103 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655758184 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655758186 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655758265 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655759969 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655760216 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655760218 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655760301 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655760303 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655760379 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655761167 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655761254 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789655761591 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=826,376 scr=826,428
1789655761675 EXITED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655761675 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1053,452 scr=1053,504
1789655761760 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1280,527 scr=1280,579
1789655761844 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1506,603 scr=1506,655
1789655761928 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1733,677 scr=1733,730
1789655762011 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=1960,753 scr=1960,806
1789655762092 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2186,829 scr=2186,882
1789655762177 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2413,904 scr=2413,957
1789655762260 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2640,980 scr=2640,1033
1789655762341 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=2866,1055 scr=2866,1108
1789655762425 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=3093,1131 scr=3093,1184
1789655762514 DRAGGED btn=1 mex=0x400 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655762928 RELEASED btn=1 mex=0x1000 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655764592 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655764592 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655764594 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789655764676 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655764677 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789655764757 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
1789655765545 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655765551 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655765552 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789655765633 PRESSED btn=3 mex=0x1000 src=start.StartPanel xy=600,300 scr=600,353
1789655765715 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=605,305 scr=605,358
1789655765800 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=610,310 scr=610,363
1789655765880 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=615,315 scr=615,368
1789655765964 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=620,320 scr=620,373
1789655766048 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=625,325 scr=625,378
1789655766135 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=630,330 scr=630,383
1789655766215 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=635,335 scr=635,388
1789655766297 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=640,340 scr=640,393
1789655766378 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=645,345 scr=645,398
1789655766462 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=650,350 scr=650,403
1789655766547 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=655,355 scr=655,408
1789655766629 DRAGGED btn=3 mex=0x1000 src=start.StartPanel xy=660,360 scr=660,413
1789655766713 RELEASED btn=3 mex=0x100 src=start.StartPanel xy=660,360 scr=660,413
1789655766796 MOVED btn=0 mex=0x0 src=start.StartPanel xy=663,363 scr=663,416
1789655766799 MOVED btn=0 mex=0x0 src=start.StartPanel xy=663,363 scr=663,416
1789655766875 EXITED btn=0 mex=0x0 src=start.StartPanel xy=3320,1207 scr=3320,1260
