GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613247209 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613249473 EXITED btn=0 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613249473 ENTERED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613249473 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613249474 MOVED btn=0 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613249523 PRESSED btn=1 mex=0x400 src=start.StartPanel xy=600,300 scr=600,353
1789613249606 RELEASED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613249607 CLICKED btn=1 mex=0x0 src=start.StartPanel xy=600,300 scr=600,353
1789613249684 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613249687 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613249768 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613249768 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613249773 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613249774 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613250564 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613250644 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613250722 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613250807 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613250808 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613250886 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613250970 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613250973 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613251056 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613251141 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613251222 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613251307 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613251389 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613251472 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613251551 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613251637 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613251718 RELEASED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613251718 CLICKED btn=3 mex=0x400 src=main.GameLauncher xy=600,328 scr=600,353
1789613251801 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613251885 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613251886 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613251969 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613251971 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613252052 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613252055 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613252055 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613252057 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613252847 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613252926 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613253009 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613253094 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613253094 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613253179 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613253262 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613253269 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613253349 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613253431 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613253516 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613253598 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613253683 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613253765 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613253846 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613253932 PRESSED btn=3 mex=0x1400 src=main.GameLauncher xy=600,328 scr=600,353
1789613254013 RELEASED btn=1 mex=0x1000 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613254098 RELEASED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613254098 CLICKED btn=3 mex=0x0 src=main.GameLauncher xy=600,328 scr=600,353
1789613254179 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613254181 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613254260 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613254309 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613254340 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613254345 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613254345 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613254347 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613255133 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613255214 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613255296 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613255379 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613255379 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613255461 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613255540 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613255543 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613255624 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613255709 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613255794 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613255879 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613255963 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613256048 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613256127 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613256210 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613256295 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613256296 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613256377 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613256378 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613256457 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613256463 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613256463 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
