GEOMETRY 0,53 1024x640
SAMEAPP 1104,153 300x300
1789613238854 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613238854 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613238856 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613239642 PRESSED btn=1 mex=0x400 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613239722 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=95,155 scr=1199,307
1789613239807 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=41,159 scr=1145,311
1789613239890 EXITED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613239891 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-13,163 scr=1090,315
1789613239972 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-68,167 scr=1036,319
1789613240054 ENTERED btn=0 mex=0x400 src=start.StartPanel xy=981,271 scr=981,323
1789613240058 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-122,171 scr=981,323
1789613240138 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-177,175 scr=927,328
1789613240221 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-231,180 scr=872,332
1789613240309 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-286,184 scr=818,336
1789613240406 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-340,188 scr=763,340
1789613240475 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-395,192 scr=709,344
1789613240553 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-449,196 scr=654,348
1789613240636 DRAGGED btn=1 mex=0x400 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613240721 RELEASED btn=1 mex=0x0 src=javax.swing.JFrame xy=-504,200 scr=600,353
1789613240801 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613240804 MOVED btn=0 mex=0x0 src=start.StartPanel xy=603,303 scr=603,356
1789613240884 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613240886 MOVED btn=0 mex=0x0 src=start.StartPanel xy=606,306 scr=606,359
1789613240967 EXITED btn=0 mex=0x0 src=start.StartPanel xy=1254,250 scr=1254,303
1789613240970 ENTERED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613240971 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
1789613240973 MOVED btn=0 mex=0x0 src=javax.swing.JFrame xy=150,150 scr=1254,303
